state,R0,total_vaccines_per_day,death_rate0,death_rate1,death_rate2,death_rate3,death_rate4,death_rate5,population0,population1,population2,population3,population4,population5,initialS0,initialS1,initialS2,initialS3,initialS4,initialS5,initialE0,initialE1,initialE2,initialE3,initialE4,initialE5,initialI0,initialI1,initialI2,initialI3,initialI4,initialI5,initialR0,initialR1,initialR2,initialR3,initialR4,initialR5
ND,0.88645107,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,50567,99368,46933,232555,165599,167040,44545.2674,87534.8376,41344.0195,204861.365,145878.77,147148.169,46.7521848,91.871598,43.3923367,215.010863,153.106078,154.438368,62.3362464,122.495464,57.8564489,286.681151,204.141437,205.917824,5912.64416,11618.7953,5487.73169,27191.9426,19362.983,19531.4747
OH,1.0100486,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,686672,1442577,766270,3009651,2927705,2856225,648991.6,1363417.11,724221.744,2844499.58,2767050.28,2699492.67,1093.88399,2298.0577,1220.6854,4794.44194,4663.90011,4550.03086,1458.51198,3064.07694,1627.58053,6392.58925,6218.53348,6066.70781,35128.0038,73797.7525,39199.9899,153964.384,149772.282,146115.587
OK,1.07570876,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,251083,542944,273627,1071557,939749,878011,234019.429,506045.589,255031.341,998734.112,875883.768,818341.475,512.530703,1108.30072,558.549319,2187.34786,1918.29083,1792.26628,683.374271,1477.7343,744.732426,2916.46381,2557.7211,2389.68838,15867.6663,34312.3756,17292.3771,67719.0765,59389.22,55487.5701
OR,1.00264317,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,223364,490279,249830,1165154,1045299,1043811,217757.831,477973.585,243559.566,1135910.03,1019063.25,1017612.6,155.175258,340.606233,173.561697,809.45485,726.189281,725.155539,206.900345,454.141644,231.415596,1079.27313,968.252374,966.874051,5244.09305,11510.6673,5865.45623,27355.2407,24541.3102,24506.3753
PA,1.09678558,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,695661,1478252,803486,3297958,3224669,3301963,664182.627,1411361.71,767128.59,3148726.76,3078754.06,3152550.54,1047.82408,2226.58455,1210.23311,4967.47668,4857.08674,4973.50913,1397.09877,2968.7794,1613.64415,6623.30224,6476.11565,6631.3455,29033.4501,61694.9284,33533.5324,137640.458,134581.738,137807.607
PR,,10000,,,,,,,115403,343562,208460,798917,834781,892571,111637.884,332353.011,201658.823,772851.685,807545.593,863450.147,77.6481907,231.163555,140.261014,537.546334,561.677203,600.560845,103.530921,308.218073,187.014686,716.728445,748.902938,800.747794,3583.93737,10669.6073,6473.90088,24811.0403,25924.8271,27719.5442
RI,0.99244883,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,54802,111727,71713,290759,265302,265058,50719.604,103404.058,66370.8434,269099.327,245538.71,245312.886,57.0890579,116.389715,74.7058065,302.893277,276.373877,276.119695,76.1187438,155.186287,99.607742,403.857703,368.498503,368.159593,3949.18823,8051.36589,5167.84307,20952.9218,19118.4179,19100.8345
SC,1.07248646,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,289537,634997,339558,1317318,1291391,1275913,273774.38,600427.269,321072.198,1245602.18,1221086.67,1206451.3,387.682842,850.245191,454.659717,1763.85604,1729.14043,1708.41578,516.910456,1133.66025,606.212956,2351.80805,2305.52058,2277.8877,14858.0265,32585.8258,17424.9293,67600.1538,66269.6708,65475.3939
SD,0.99381727,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,58859,122107,57976,230418,203127,212172,52470.1896,108852.978,51683.0342,205407.434,181078.717,189141.933,86.3407993,179.119862,85.0455186,338.002248,297.968833,311.237025,115.121066,238.826483,113.394025,450.669663,397.291777,414.9827,6187.34858,12836.0756,6094.52626,24221.8944,21353.0226,22303.8469
TN,1.09768177,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,407026,849284,435235,1805533,1754510,1577586,375714.686,783951.078,401753.651,1666638.65,1619540.7,1456226.95,1160.33044,2421.09859,1240.74732,5147.12794,5001.67399,4497.30743,1547.10725,3228.13146,1654.32976,6862.83725,6668.89865,5996.40991,28603.8763,59683.6921,30586.2724,126884.382,123298.725,110865.337
TX,1.05401423,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,1981755,4180172,2077356,8282248,7149824,5324526,1870527.28,3945556.22,1960762.59,7817399.64,6748533.92,5025682.35,2338.6664,4933.01533,2451.48501,9773.86968,8437.49764,6283.46594,3118.22186,6577.35377,3268.64668,13031.8262,11249.9969,8377.95459,105770.832,223105.414,110873.278,442042.665,381602.586,284182.225
UT,1.01471656,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,245883,525651,255453,971504,688945,518522,226202.033,483576.843,235006.031,893742.878,633800.465,477018.463,433.122191,925.932711,449.979718,1711.30148,1213.57462,913.374998,577.496255,1234.57695,599.972958,2281.7353,1618.09949,1217.83333,18670.3483,39913.6469,19397.016,73768.085,52312.8606,39372.3289
VT,1.12792463,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,29021,63126,43161,155259,157738,175684,28710.9788,62451.6469,42699.9261,153600.422,156052.94,173807.229,10.3648256,22.5453974,15.4149146,55.4506204,56.3359931,62.7453918,13.8197674,30.0605299,20.5532195,73.9341605,75.1146575,83.6605224,285.836642,621.747143,425.105795,1529.19304,1553.60946,1730.36506
VA,1.04972682,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,499906,1047559,555996,2327335,2202564,1902159,481469.271,1008924.61,535490.65,2241501.97,2121332.58,1832006.63,465.337374,975.120032,517.548737,2166.3992,2050.25615,1770.62423,620.449832,1300.16004,690.064982,2888.53227,2733.67486,2360.8323,17350.942,36359.1064,19297.7367,80778.0954,76447.4925,66020.9128
WA,0.96114314,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,455283,934187,459277,2183699,1892205,1690242,441375.897,905651.265,445247.896,2116995.59,1834405.59,1638611.76,332.184884,681.60419,335.098998,1593.27671,1380.59602,1233.2392,442.913179,908.805586,446.798664,2124.36894,1840.7947,1644.31893,13132.0051,26945.325,13247.2064,62985.7612,54578.0221,48752.6802
WV,1.13056254,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,91548,203414,109763,425109,460560,501753,87707.3276,194880.263,105158.162,407274.592,441238.332,480703.18,145.235878,322.705147,174.132975,674.412097,730.653163,796.003597,193.647837,430.273529,232.177301,899.21613,974.204217,1061.33813,3501.78865,7780.75804,4198.52785,16260.7798,17616.8106,19192.4778
WI,0.92482171,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,327258,713189,380127,1501281,1471726,1428853,299145.009,651922.733,347472.315,1372313.95,1345297.86,1306107.85,418.753669,912.584293,486.403926,1921.01317,1883.1951,1828.33555,558.338226,1216.77906,648.538568,2561.35089,2510.9268,2437.78074,27135.8994,59136.9041,31519.7429,124484.689,122034.018,118479.033
WY,0.84940677,10000,0.00016774,6.39E-05,6.52E-05,0.00228565,0.01915211,0.13527293,33098,79437,38611,151369,138128,138116,30676.273,73624.7236,35785.8958,140293.576,128021.398,128010.276,39.1655278,93.9993967,45.6891714,179.117976,163.449635,163.435435,52.2207038,125.332529,60.9188952,238.823968,217.932847,217.913914,2330.34074,5592.9445,2718.49617,10657.4822,9725.2192,9724.37431
